Morus_000003-R1	Bato_000003-R1	ArtoA_013067-R1	ArtoB_020652-R1
Morus_010245-R1	Bato_010245-R1	ArtoA_006831-R1	ArtoB_030060-R1
Morus_010250-R1	Bato_010250-R1	ArtoA_028295-R1	ArtoB_unassigned_transcript_6070
Morus_010252-R1	Bato_010252-R1	ArtoA_028013-R1	ArtoB_029434-R1
Morus_010253-R1	Bato_010253-R1	ArtoA_028419-R1	ArtoB_029448-R1
Morus_010254-R1	Bato_010254-R1	ArtoA_028314-R1	ArtoB_029272-R1
Morus_010260-R1	Bato_010260-R1	ArtoA_028704-R1	ArtoB_029773-R1
Morus_010269-R1	Bato_010269-R1	ArtoA_028042-R1	ArtoB_028855-R1
Morus_010271-R1	Bato_010271-R1	ArtoA_028603-R1	ArtoB_unassigned_transcript_5797
Morus_010272-R1	Bato_010272-R1	ArtoA_028837-R1	ArtoB_029082-R1
Morus_010274-R1	Bato_010274-R1	ArtoA_unassigned_transcript_5474	ArtoB_028875-R1
Morus_010276-R1	Bato_010276-R1	ArtoA_028104-R1	ArtoB_029730-R1
Morus_010277-R1	Bato_010277-R1	ArtoA_012028-R1	ArtoB_unassigned_transcript_700
Morus_010289-R1	Bato_010289-R1	ArtoA_028546-R1	ArtoB_029064-R1
Morus_010290-R1	Bato_010290-R1	ArtoA_028630-R1	ArtoB_028904-R1
Morus_010296-R1	Bato_010296-R1	ArtoA_unassigned_transcript_5484	ArtoB_029821-R1
Morus_010297-R1	Bato_010297-R1	ArtoA_012163-R1	ArtoB_unassigned_transcript_618
Morus_010299-R1	Bato_010299-R1	ArtoA_028641-R1	ArtoB_028914-R1
Morus_010303-R1	Bato_010303-R1	ArtoA_028652-R1	ArtoB_028923-R1
Morus_010305-R1	Bato_010305-R1	ArtoA_028472-R1	ArtoB_unassigned_transcript_5829
Morus_010306-R1	Bato_010306-R1	ArtoA_028657-R1	ArtoB_unassigned_transcript_5830
Morus_010307-R1	Bato_010307-R1	ArtoA_010495-R1	ArtoB_004442-R1
Morus_010326-R1	Bato_010326-R1	ArtoA_028683-R1	ArtoB_029633-R1
Morus_010332-R1	Bato_010332-R1	ArtoA_023439-R1	ArtoB_026678-R1
Morus_010333-R1	Bato_010333-R1	ArtoA_unassigned_transcript_5522	ArtoB_028952-R1
Morus_010334-R1	Bato_010334-R1	ArtoA_028194-R1	ArtoB_029184-R1
Morus_010335-R1	Bato_010335-R1	ArtoA_028193-R1	ArtoB_029185-R1
Morus_010340-R2	Bato_010340-R2	ArtoA_028759-R1	ArtoB_029889-R1
Morus_010341-R1	Bato_010341-R1	ArtoA_028334-R1	ArtoB_029290-R1
Morus_010342-R1	Bato_010342-R1	ArtoA_unassigned_transcript_5585	ArtoB_029229-R1
Morus_010344-R1	Bato_010344-R1	ArtoA_028392-R1	ArtoB_029470-R1
Morus_010345-R1	Bato_010345-R1	ArtoA_unassigned_transcript_5562	ArtoB_029473-R1
Morus_010346-R1	Bato_010346-R1	ArtoA_007121-R1	ArtoB_028920-R1
Morus_010347-R1	Bato_010347-R1	ArtoA_027857-R1	ArtoB_029469-R1
Morus_010349-R1	Bato_010349-R1	ArtoA_028082-R1	ArtoB_029060-R1
Morus_010350-R1	Bato_010350-R1	ArtoA_028731-R1	ArtoB_029612-R1
Morus_010351-R1	Bato_010351-R1	ArtoA_028572-R4	ArtoB_029135-R1
Morus_010354-R1	Bato_010354-R1	ArtoA_009329-R1	ArtoB_030681-R1
Morus_010355-R1	Bato_010355-R1	ArtoA_028428-R1	ArtoB_029819-R1
Morus_010357-R2	Bato_010357-R2	ArtoA_028395-R1	ArtoB_028842-R1
Morus_010358-R1	Bato_010358-R1	ArtoA_028238-R1	ArtoB_029037-R1
Morus_010359-R1	Bato_010359-R1	ArtoA_028593-R1	ArtoB_029635-R1
Morus_010361-R1	Bato_010361-R1	ArtoA_028505-R1	ArtoB_029286-R1
Morus_010362-R1	Bato_010362-R1	ArtoA_027825-R1	ArtoB_029919-R1
Morus_010363-R1	Bato_010363-R1	ArtoA_028206-R2	ArtoB_unassigned_transcript_5963
Morus_010365-R1	Bato_010365-R1	ArtoA_028408-R1	ArtoB_unassigned_transcript_5863
Morus_010366-R1	Bato_010366-R1	ArtoA_unassigned_transcript_5565	ArtoB_029251-R1
Morus_010367-R1	Bato_010367-R1	ArtoA_unassigned_transcript_5771	ArtoB_029479-R1
Morus_010368-R1	Bato_010368-R1	ArtoA_028410-R1	ArtoB_029191-R1
Morus_010371-R1	Bato_010371-R1	ArtoA_011656-R2	ArtoB_unassigned_transcript_643
Morus_010373-R1	Bato_010373-R1	ArtoA_unassigned_transcript_5489	ArtoB_029561-R1
Morus_010375-R1	Bato_010375-R1	ArtoA_028017-R1	ArtoB_029763-R2
Morus_010377-R1	Bato_010377-R1	ArtoA_011935-R2	ArtoB_030913-R1
Morus_010378-R1	Bato_010378-R1	ArtoA_unassigned_transcript_5556	ArtoB_029624-R1
Morus_010379-R1	Bato_010379-R1	ArtoA_unassigned_transcript_5753	ArtoB_029048-R1
Morus_010381-R1	Bato_010381-R1	ArtoA_028716-R1	ArtoB_029580-R1
Morus_010382-R1	Bato_010382-R1	ArtoA_028543-R1	ArtoB_029724-R1
Morus_010385-R1	Bato_010385-R1	ArtoA_unassigned_transcript_5700	ArtoB_028996-R1
Morus_010387-R1	Bato_010387-R1	ArtoA_028284-R1	ArtoB_unassigned_transcript_5878
Morus_010388-R2	Bato_010388-R2	ArtoA_008022-R1	ArtoB_002344-R1
Morus_010389-R1	Bato_010389-R1	ArtoA_028283-R1	ArtoB_029677-R1
Morus_010392-R1	Bato_010392-R1	ArtoA_028745-R1	ArtoB_unassigned_transcript_5879
Morus_010393-R1	Bato_010393-R1	ArtoA_027714-R1	ArtoB_029072-R2
Morus_010394-R1	Bato_010394-R1	ArtoA_028358-R1	ArtoB_029906-R1
Morus_010395-R1	Bato_010395-R1	ArtoA_028359-R1	ArtoB_029840-R1
Morus_010403-R1	Bato_010403-R1	ArtoA_028579-R1	ArtoB_029597-R1
Morus_010406-R1	Bato_010406-R1	ArtoA_028743-R1	ArtoB_unassigned_transcript_5856
Morus_010412-R1	Bato_010412-R1	ArtoA_028143-R1	ArtoB_029918-R1
Morus_010414-R2	Bato_010414-R2	ArtoA_028092-R1	ArtoB_029452-R1
Morus_010415-R1	Bato_010415-R1	ArtoA_011713-R1	ArtoB_unassigned_transcript_702
Morus_010417-R1	Bato_010417-R1	ArtoA_028171-R1	ArtoB_028846-R1
Morus_010418-R1	Bato_010418-R1	ArtoA_028523-R1	ArtoB_028847-R1
Morus_010419-R1	Bato_010419-R1	ArtoA_028273-R1	ArtoB_unassigned_transcript_5859
Morus_010420-R1	Bato_010420-R1	ArtoA_027802-R1	ArtoB_029230-R1
Morus_010421-R1	Bato_010421-R1	ArtoA_028152-R1	ArtoB_029163-R2
Morus_010423-R1	Bato_010423-R1	ArtoA_012051-R1	ArtoB_033476-R1
Morus_010424-R1	Bato_010424-R1	ArtoA_028167-R1	ArtoB_029168-R1
Morus_010425-R2	Bato_010425-R2	ArtoA_028116-R1	ArtoB_029269-R1
Morus_010427-R1	Bato_010427-R1	ArtoA_028080-R1	ArtoB_029281-R1
Morus_010428-R1	Bato_010428-R1	ArtoA_028241-R1	ArtoB_029237-R1
Morus_010440-R1	Bato_010440-R1	ArtoA_011702-R1	ArtoB_031419-R1
Morus_010442-R1	Bato_010442-R1	ArtoA_028755-R1	ArtoB_029806-R1
Morus_010451-R1	Bato_010451-R1	ArtoA_028257-R1	ArtoB_unassigned_transcript_6062
Morus_010452-R1	Bato_010452-R1	ArtoA_027769-R1	ArtoB_029280-R1
Morus_010453-R1	Bato_010453-R1	ArtoA_028487-R1	ArtoB_029894-R1
Morus_010457-R1	Bato_010457-R1	ArtoA_027907-R1	ArtoB_unassigned_transcript_5929
Morus_010458-R2	Bato_010458-R2	ArtoA_028045-R1	ArtoB_029516-R1
Morus_010462-R1	Bato_010462-R1	ArtoA_028813-R1	ArtoB_029599-R1
Morus_010465-R1	Bato_010465-R1	ArtoA_028480-R1	ArtoB_029795-R1
Morus_010468-R1	Bato_010468-R1	ArtoA_027859-R1	ArtoB_unassigned_transcript_5922
Morus_010469-R2	Bato_010469-R2	ArtoA_028751-R1	ArtoB_029665-R1
Morus_010472-R1	Bato_010472-R1	ArtoA_028157-R1	ArtoB_029622-R1
Morus_010473-R1	Bato_010473-R1	ArtoA_028786-R1	ArtoB_unassigned_transcript_5827
Morus_010476-R1	Bato_010476-R1	ArtoA_028434-R1	ArtoB_029885-R1
Morus_010477-R1	Bato_010477-R1	ArtoA_028666-R1	ArtoB_unassigned_transcript_5796
Morus_010478-R1	Bato_010478-R1	ArtoA_028570-R1	ArtoB_029233-R1
Morus_010483-R1	Bato_010483-R1	ArtoA_028569-R1	ArtoB_029552-R1
Morus_010485-R1	Bato_010485-R1	ArtoA_028067-R1	ArtoB_029858-R1
Morus_010486-R1	Bato_010486-R1	ArtoA_027704-R1	ArtoB_029582-R1
Morus_010488-R1	Bato_010488-R1	ArtoA_unassigned_transcript_5586	ArtoB_029133-R1
Morus_010492-R1	Bato_010492-R1	ArtoA_028114-R1	ArtoB_unassigned_transcript_6054
Morus_010493-R1	Bato_010493-R1	ArtoA_028168-R2	ArtoB_028963-R1
Morus_010494-R1	Bato_010494-R1	ArtoA_unassigned_transcript_5736	ArtoB_029456-R1
Morus_010495-R1	Bato_010495-R1	ArtoA_028362-R1	ArtoB_029054-R1
Morus_010496-R1	Bato_010496-R1	ArtoA_028681-R1	ArtoB_029242-R1
Morus_010499-R1	Bato_010499-R1	ArtoA_028785-R1	ArtoB_029278-R1
Morus_010504-R1	Bato_010504-R1	ArtoA_028319-R1	ArtoB_028865-R1
Morus_010505-R1	Bato_010505-R1	ArtoA_028713-R1	ArtoB_029770-R1
Morus_010507-R1	Bato_010507-R1	ArtoA_028179-R2	ArtoB_029837-R1
Morus_010513-R1	Bato_010513-R1	ArtoA_028259-R1	ArtoB_029056-R1
Morus_010515-R1	Bato_010515-R1	ArtoA_028310-R1	ArtoB_029238-R1
Morus_010527-R1	Bato_010527-R1	ArtoA_028820-R1	ArtoB_029539-R1
Morus_010530-R1	Bato_010530-R1	ArtoA_unassigned_transcript_5524	ArtoB_029111-R1
Morus_010532-R1	Bato_010532-R1	ArtoA_027791-R1	ArtoB_029824-R1
Morus_010540-R1	Bato_010540-R1	ArtoA_027698-R1	ArtoB_029100-R1
Morus_010546-R2	Bato_010546-R2	ArtoA_028072-R1	ArtoB_029501-R1
Morus_010547-R1	Bato_010547-R1	ArtoA_020235-R1	ArtoB_029686-R1
Morus_010548-R1	Bato_010548-R1	ArtoA_028063-R1	ArtoB_029855-R1
Morus_010550-R2	Bato_010550-R2	ArtoA_028454-R1	ArtoB_029489-R1
Morus_010551-R1	Bato_010551-R1	ArtoA_028272-R1	ArtoB_029465-R8
Morus_010554-R1	Bato_010554-R1	ArtoA_028450-R1	ArtoB_028960-R1
Morus_010555-R1	Bato_010555-R1	ArtoA_028073-R1	ArtoB_029733-R1
Morus_010556-R1	Bato_010556-R1	ArtoA_027840-R1	ArtoB_029826-R1
Morus_010559-R1	Bato_010559-R1	ArtoA_028436-R1	ArtoB_unassigned_transcript_5833
Morus_010563-R1	Bato_010563-R1	ArtoA_027821-R1	ArtoB_029589-R1
Morus_010565-R1	Bato_010565-R1	ArtoA_028793-R1	ArtoB_029571-R1
Morus_010566-R1	Bato_010566-R1	ArtoA_028829-R1	ArtoB_unassigned_transcript_5816
Morus_010573-R1	Bato_010573-R1	ArtoA_028825-R1	ArtoB_028893-R1
Morus_010593-R1	Bato_010593-R1	ArtoA_unassigned_transcript_5500	ArtoB_029125-R1
Morus_010594-R1	Bato_010594-R1	ArtoA_028650-R1	ArtoB_029126-R1
Morus_010595-R1	Bato_010595-R1	ArtoA_027800-R1	ArtoB_029849-R1
Morus_010596-R1	Bato_010596-R1	ArtoA_028413-R1	ArtoB_029883-R3
Morus_010601-R1	Bato_010601-R1	ArtoA_028365-R1	ArtoB_028970-R1
Morus_010602-R1	Bato_010602-R1	ArtoA_028839-R1	ArtoB_029256-R1
Morus_010608-R1	Bato_010608-R1	ArtoA_028146-R1	ArtoB_029069-R1
Morus_010610-R1	Bato_010610-R1	ArtoA_028613-R1	ArtoB_029081-R1
Morus_010616-R1	Bato_010616-R1	ArtoA_028274-R1	ArtoB_029283-R1
Morus_010617-R1	Bato_010617-R1	ArtoA_028535-R1	ArtoB_029221-R1
Morus_010618-R1	Bato_010618-R1	ArtoA_028536-R1	ArtoB_029222-R1
Morus_010619-R1	Bato_010619-R1	ArtoA_028304-R1	ArtoB_029474-R1
Morus_010623-R1	Bato_010623-R1	ArtoA_028720-R1	ArtoB_028968-R1
Morus_010628-R1	Bato_010628-R1	ArtoA_028180-R1	ArtoB_029065-R1
Morus_010631-R1	Bato_010631-R1	ArtoA_027850-R1	ArtoB_029699-R1
Morus_010633-R1	Bato_010633-R1	ArtoA_028141-R1	ArtoB_029176-R1
Morus_010636-R1	Bato_010636-R1	ArtoA_028218-R1	ArtoB_unassigned_transcript_5965
Morus_010637-R1	Bato_010637-R1	ArtoA_028219-R1	ArtoB_029754-R3
Morus_010640-R1	Bato_010640-R1	ArtoA_027750-R1	ArtoB_029872-R3
Morus_010643-R1	Bato_010643-R1	ArtoA_012114-R1	ArtoB_003736-R1
Morus_010644-R1	Bato_010644-R1	ArtoA_028463-R1	ArtoB_028998-R1
Morus_010645-R1	Bato_010645-R1	ArtoA_028407-R1	ArtoB_029712-R1
Morus_010646-R1	Bato_010646-R1	ArtoA_028084-R1	ArtoB_029869-R1
Morus_010650-R1	Bato_010650-R1	ArtoA_027849-R1	ArtoB_029752-R1
Morus_010651-R1	Bato_010651-R1	ArtoA_028034-R1	ArtoB_029498-R1
Morus_010652-R1	Bato_010652-R1	ArtoA_010837-R1	ArtoB_unassigned_transcript_535
Morus_010662-R1	Bato_010662-R1	ArtoA_028030-R1	ArtoB_029155-R1
Morus_010669-R1	Bato_010669-R1	ArtoA_028064-R1	ArtoB_unassigned_transcript_5876
Morus_010671-R1	Bato_010671-R1	ArtoA_028787-R1	ArtoB_029140-R1
Morus_010672-R1	Bato_010672-R1	ArtoA_011645-R1	ArtoB_000418-R1
Morus_010675-R1	Bato_010675-R1	ArtoA_011646-R1	ArtoB_028076-R1
Morus_010678-R1	Bato_010678-R1	ArtoA_028390-R1	ArtoB_029041-R1
Morus_010679-R1	Bato_010679-R1	ArtoA_027842-R1	ArtoB_029023-R1
Morus_010680-R1	Bato_010680-R1	ArtoA_028203-R1	ArtoB_029513-R1
Morus_010681-R1	Bato_010681-R1	ArtoA_028548-R1	ArtoB_029211-R1
Morus_010683-R1	Bato_010683-R1	ArtoA_011693-R1	ArtoB_032279-R1
Morus_010687-R1	Bato_010687-R1	ArtoA_027760-R1	ArtoB_unassigned_transcript_5949
Morus_010689-R1	Bato_010689-R1	ArtoA_028366-R1	ArtoB_028871-R1
Morus_010690-R1	Bato_010690-R1	ArtoA_027827-R1	ArtoB_029650-R1
Morus_010693-R1	Bato_010693-R1	ArtoA_011773-R1	ArtoB_003103-R3
Morus_010696-R1	Bato_010696-R1	ArtoA_unassigned_transcript_5541	ArtoB_029759-R1
Morus_010698-R1	Bato_010698-R1	ArtoA_unassigned_transcript_5478	ArtoB_029078-R1
Morus_010699-R1	Bato_010699-R1	ArtoA_027932-R1	ArtoB_unassigned_transcript_5959
Morus_010700-R1	Bato_010700-R1	ArtoA_028828-R1	ArtoB_029252-R1
Morus_010704-R1	Bato_010704-R1	ArtoA_010785-R1	ArtoB_004366-R2
Morus_010706-R1	Bato_010706-R1	ArtoA_028050-R1	ArtoB_028894-R1
Morus_010715-R1	Bato_010715-R1	ArtoA_028275-R1	ArtoB_029621-R1
Morus_010717-R1	Bato_010717-R1	ArtoA_028185-R1	ArtoB_029618-R1
Morus_010718-R1	Bato_010718-R1	ArtoA_027707-R1	ArtoB_029263-R1
Morus_010722-R1	Bato_010722-R1	ArtoA_028224-R1	ArtoB_029042-R1
Morus_010728-R1	Bato_010728-R1	ArtoA_016121-R2	ArtoB_021494-R1
Morus_010730-R1	Bato_010730-R1	ArtoA_027813-R1	ArtoB_unassigned_transcript_5806
Morus_010734-R1	Bato_010734-R1	ArtoA_028249-R1	ArtoB_029231-R1
Morus_010736-R1	Bato_010736-R1	ArtoA_028620-R1	ArtoB_029148-R1
Morus_010740-R1	Bato_010740-R1	ArtoA_028557-R1	ArtoB_029875-R1
Morus_010741-R1	Bato_010741-R1	ArtoA_unassigned_transcript_5639	ArtoB_029876-R1
Morus_010744-R1	Bato_010744-R1	ArtoA_unassigned_transcript_5525	ArtoB_029298-R1
Morus_010750-R1	Bato_010750-R1	ArtoA_028695-R1	ArtoB_unassigned_transcript_5874
Morus_010765-R1	Bato_010765-R1	ArtoA_011990-R1	ArtoB_001109-R1
Morus_010768-R1	Bato_010768-R1	ArtoA_027865-R1	ArtoB_unassigned_transcript_5884
Morus_010770-R1	Bato_010770-R1	ArtoA_027869-R1	ArtoB_029319-R1
Morus_010782-R1	Bato_010782-R1	ArtoA_009241-R1	ArtoB_028559-R1
Morus_010793-R1	Bato_010793-R1	ArtoA_unassigned_transcript_5598	ArtoB_029342-R1
Morus_010806-R1	Bato_010806-R1	ArtoA_027775-R1	ArtoB_029145-R1
Morus_010809-R1	Bato_021007-R1	ArtoA_010395-R1	ArtoB_010018-R1
Morus_010811-R1	Bato_010811-R1	ArtoA_027848-R1	ArtoB_029610-R1
Morus_010812-R1	Bato_010812-R1	ArtoA_027917-R1	ArtoB_029362-R1
Morus_010818-R1	Bato_010818-R1	ArtoA_028325-R1	ArtoB_029089-R1
Morus_010819-R1	Bato_010819-R1	ArtoA_027919-R1	ArtoB_unassigned_transcript_5945
Morus_010820-R1	Bato_010820-R1	ArtoA_unassigned_transcript_5642	ArtoB_029365-R1
Morus_010824-R1	Bato_010824-R1	ArtoA_028059-R1	ArtoB_029000-R1
Morus_010837-R1	Bato_010837-R1	ArtoA_027929-R1	ArtoB_029374-R1
Morus_010843-R1	Bato_010843-R1	ArtoA_028789-R1	ArtoB_unassigned_transcript_5962
Morus_010863-R1	Bato_010863-R1	ArtoA_028165-R1	ArtoB_029123-R1
Morus_010871-R1	Bato_010871-R1	ArtoA_028800-R1	ArtoB_unassigned_transcript_6017
Morus_010886-R1	Bato_010886-R1	ArtoA_unassigned_transcript_5715	ArtoB_029130-R1
Morus_010917-R1	Bato_010917-R1	ArtoA_012026-R1	ArtoB_031700-R1
Morus_010919-R1	Bato_010919-R1	ArtoA_028298-R1	ArtoB_028939-R1
Morus_010920-R1	Bato_010920-R1	ArtoA_unassigned_transcript_5509	ArtoB_029701-R1
Morus_010924-R1	Bato_010924-R1	ArtoA_unassigned_transcript_5507	ArtoB_028995-R1
Morus_010925-R1	Bato_010925-R1	ArtoA_011941-R1	ArtoB_029171-R1
Morus_010928-R1	Bato_010928-R1	ArtoA_028142-R1	ArtoB_unassigned_transcript_5828
Morus_010933-R1	Bato_010933-R1	ArtoA_028803-R1	ArtoB_unassigned_transcript_5950
Morus_010934-R1	Bato_010934-R1	ArtoA_unassigned_transcript_5599	ArtoB_029843-R1
Morus_010938-R1	Bato_010938-R1	ArtoA_unassigned_transcript_5712	ArtoB_029034-R1
Morus_010939-R1	Bato_010939-R1	ArtoA_028821-R1	ArtoB_029235-R1
Morus_010945-R1	Bato_010945-R1	ArtoA_unassigned_transcript_5609	ArtoB_029871-R1
Morus_010947-R1	Bato_010947-R1	ArtoA_028027-R1	ArtoB_unassigned_transcript_5928
Morus_010951-R1	Bato_015548-R1	ArtoA_003163-R1	ArtoB_029820-R1
Morus_010953-R1	Bato_010953-R1	ArtoA_009250-R1	ArtoB_033411-R1
Morus_010955-R1	Bato_010955-R1	ArtoA_027780-R3	ArtoB_029022-R1
Morus_010956-R1	Bato_010956-R1	ArtoA_028729-R1	ArtoB_029367-R1
Morus_010961-R1	Bato_010961-R1	ArtoA_unassigned_transcript_5513	ArtoB_029608-R1
Morus_010977-R4	Bato_010977-R4	ArtoA_028504-R1	ArtoB_029735-R1
Morus_010985-R1	Bato_010985-R1	ArtoA_027731-R1	ArtoB_029734-R1
Morus_010986-R1	Bato_010986-R1	ArtoA_unassigned_transcript_5508	ArtoB_029160-R1
Morus_010987-R1	Bato_010987-R1	ArtoA_028286-R1	ArtoB_029161-R1
Morus_010989-R1	Bato_010989-R1	ArtoA_028023-R1	ArtoB_029049-R1
Morus_010994-R1	Bato_010994-R1	ArtoA_012217-R1	ArtoB_000770-R1
Morus_010995-R1	Bato_010995-R1	ArtoA_028235-R2	ArtoB_029241-R2
Morus_010996-R1	Bato_010996-R1	ArtoA_028522-R1	ArtoB_029810-R1
Morus_010997-R1	Bato_010997-R1	ArtoA_028212-R1	ArtoB_029541-R1
Morus_011000-R1	Bato_011000-R1	ArtoA_unassigned_transcript_5475	ArtoB_029199-R1
Morus_011002-R1	Bato_011002-R1	ArtoA_028222-R1	ArtoB_029074-R1
Morus_011003-R1	Bato_011003-R1	ArtoA_028204-R1	ArtoB_029028-R1
Morus_011004-R1	Bato_011004-R1	ArtoA_011665-R1	ArtoB_033820-R1
Morus_011007-R1	Bato_011007-R1	ArtoA_028794-R1	ArtoB_028877-R1
Morus_011008-R1	Bato_011008-R1	ArtoA_027931-R1	ArtoB_029838-R1
Morus_011013-R1	Bato_011013-R1	ArtoA_027725-R1	ArtoB_028922-R1
Morus_011019-R1	Bato_011019-R1	ArtoA_unassigned_transcript_5655	ArtoB_029376-R1
Morus_011021-R8	Bato_011021-R8	ArtoA_028567-R1	ArtoB_029672-R2
Morus_011023-R1	Bato_011023-R1	ArtoA_009498-R1	ArtoB_001448-R1
Morus_011025-R1	Bato_011025-R1	ArtoA_028639-R1	ArtoB_029009-R1
Morus_011027-R1	Bato_011027-R1	ArtoA_027739-R2	ArtoB_029172-R1
Morus_011030-R2	Bato_011030-R2	ArtoA_028313-R1	ArtoB_029151-R1
Morus_011031-R1	Bato_011031-R1	ArtoA_028784-R1	ArtoB_028859-R2
Morus_011032-R1	Bato_011032-R1	ArtoA_028281-R1	ArtoB_029127-R1
Morus_011033-R1	Bato_011033-R1	ArtoA_028282-R1	ArtoB_029128-R1
Morus_011044-R1	Bato_011044-R1	ArtoA_028515-R1	ArtoB_029703-R1
Morus_011048-R1	Bato_011048-R1	ArtoA_028560-R1	ArtoB_029888-R1
Morus_011049-R1	Bato_011049-R1	ArtoA_028659-R1	ArtoB_029006-R1
Morus_011050-R1	Bato_011050-R1	ArtoA_028715-R1	ArtoB_029814-R1
Morus_011051-R1	Bato_011052-R1	ArtoA_unassigned_transcript_5650	ArtoB_029917-R1
Morus_011054-R1	Bato_011054-R1	ArtoA_027844-R1	ArtoB_029043-R1
Morus_011055-R1	Bato_011055-R1	ArtoA_028533-R1	ArtoB_029152-R1
Morus_011056-R1	Bato_011056-R1	ArtoA_028738-R1	ArtoB_029600-R1
Morus_011058-R1	Bato_011058-R1	ArtoA_028831-R1	ArtoB_028973-R1
Morus_011060-R1	Bato_011060-R1	ArtoA_unassigned_transcript_5564	ArtoB_029326-R1
Morus_011062-R1	Bato_011062-R1	ArtoA_028090-R1	ArtoB_029725-R1
Morus_011063-R1	Bato_021181-R2	ArtoA_012415-R1	ArtoB_004203-R3
Morus_011069-R1	Bato_011069-R1	ArtoA_028037-R1	ArtoB_028945-R1
Morus_011075-R1	Bato_011075-R1	ArtoA_028033-R1	ArtoB_028974-R1
Morus_011077-R1	Bato_009855-R7	ArtoA_026534-R4	ArtoB_026828-R2
Morus_011078-R1	Bato_011078-R1	ArtoA_027745-R1	ArtoB_029046-R1
Morus_011095-R1	Bato_011095-R1	ArtoA_028228-R1	ArtoB_029605-R1
Morus_011096-R1	Bato_011096-R1	ArtoA_028412-R1	ArtoB_029192-R1
Morus_011098-R1	Bato_011098-R1	ArtoA_027856-R1	ArtoB_029564-R1
Morus_011100-R1	Bato_011100-R1	ArtoA_028581-R1	ArtoB_029842-R1
Morus_011104-R1	Bato_011104-R1	ArtoA_028834-R1	ArtoB_029601-R1
Morus_011113-R1	Bato_011113-R1	ArtoA_028749-R1	ArtoB_029737-R1
Morus_011114-R1	Bato_011114-R1	ArtoA_028488-R1	ArtoB_029018-R1
Morus_011119-R1	Bato_011119-R1	ArtoA_028160-R1	ArtoB_029515-R1
Morus_011120-R1	Bato_011120-R1	ArtoA_028350-R1	ArtoB_029051-R1
Morus_011121-R1	Bato_011121-R1	ArtoA_028290-R1	ArtoB_029856-R1
Morus_011124-R1	Bato_011124-R1	ArtoA_028258-R1	ArtoB_029288-R1
Morus_011125-R1	Bato_011125-R1	ArtoA_028344-R1	ArtoB_029861-R1
Morus_011126-R1	Bato_011126-R1	ArtoA_028345-R1	ArtoB_029862-R1
Morus_011127-R1	Bato_011127-R1	ArtoA_028514-R1	ArtoB_029099-R1
Morus_011128-R1	Bato_011128-R1	ArtoA_027737-R1	ArtoB_029291-R1
Morus_011129-R1	Bato_011129-R1	ArtoA_028065-R1	ArtoB_029454-R1
Morus_011130-R1	Bato_011130-R1	ArtoA_028066-R1	ArtoB_029455-R1
Morus_011132-R1	Bato_011132-R1	ArtoA_028775-R1	ArtoB_029567-R1
Morus_011136-R1	Bato_011136-R1	ArtoA_028071-R1	ArtoB_029789-R1
Morus_011142-R1	Bato_011142-R1	ArtoA_028103-R1	ArtoB_029632-R1
Morus_011143-R1	Bato_011143-R1	ArtoA_027748-R1	ArtoB_029587-R1
Morus_011144-R1	Bato_011144-R1	ArtoA_027749-R1	ArtoB_unassigned_transcript_5842
Morus_011145-R1	Bato_011145-R1	ArtoA_028205-R1	ArtoB_029780-R1
Morus_011154-R1	Bato_011154-R1	ArtoA_028269-R1	ArtoB_029854-R1
Morus_011155-R2	Bato_011155-R2	ArtoA_027992-R1	ArtoB_029457-R2
Morus_011157-R1	Bato_011157-R1	ArtoA_028802-R1	ArtoB_029695-R1
Morus_011161-R1	Bato_011161-R1	ArtoA_027766-R1	ArtoB_029077-R1
Morus_011163-R1	Bato_011163-R1	ArtoA_028261-R1	ArtoB_029749-R1
Morus_011168-R1	Bato_011168-R1	ArtoA_028484-R1	ArtoB_029794-R1
Morus_011171-R1	Bato_011171-R1	ArtoA_028507-R1	ArtoB_unassigned_transcript_6036
Morus_011172-R1	Bato_011172-R1	ArtoA_028089-R1	ArtoB_028959-R1
Morus_011186-R1	Bato_011186-R1	ArtoA_027828-R1	ArtoB_029816-R1
Morus_011189-R1	Bato_011189-R1	ArtoA_028074-R1	ArtoB_029847-R1
Morus_011194-R1	Bato_011194-R1	ArtoA_028200-R1	ArtoB_unassigned_transcript_6068
Morus_011196-R1	Bato_011196-R1	ArtoA_028468-R1	ArtoB_029239-R2
Morus_011197-R1	Bato_011197-R1	ArtoA_028155-R1	ArtoB_029181-R3
Morus_011198-R3	Bato_011198-R3	ArtoA_027831-R1	ArtoB_029177-R6
Morus_011200-R1	Bato_011200-R1	ArtoA_028482-R1	ArtoB_029653-R3
Morus_011206-R1	Bato_011206-R1	ArtoA_028393-R1	ArtoB_029253-R1
Morus_011207-R1	Bato_011207-R1	ArtoA_028264-R1	ArtoB_029923-R1
Morus_011211-R1	Bato_011211-R1	ArtoA_028604-R1	ArtoB_unassigned_transcript_5802
Morus_011212-R1	Bato_011212-R1	ArtoA_027839-R1	ArtoB_unassigned_transcript_5861
Morus_011213-R1	Bato_011213-R1	ArtoA_028741-R1	ArtoB_029841-R1
Morus_011215-R1	Bato_011215-R1	ArtoA_028812-R1	ArtoB_029260-R1
Morus_011219-R1	Bato_011219-R1	ArtoA_028216-R1	ArtoB_029010-R1
